Master_Rec,zone_id,hour,Day,Hours,Latitude,Longitude
300678500,3,20,Friday,20,35.204234,-89.85574
300696751,5,7,Thursday,7,35.261696,-89.855934
300696752,8,11,Thursday,11,35.205854,-89.791941
300696753,8,16,Thursday,16,35.207362,-89.814548
300696754,4,16,Thursday,16,35.204141,-89.869517
300696756,3,22,Thursday,22,35.199799,-89.839549
300696781,6,10,Friday,10,35.241091,-89.793024
300697000,3,17,Friday,17,35.200516,-89.83937
300697000,3,17,Friday,17,35.200516,-89.83937
300697407,3,12,Saturday,12,35.20486,-89.8403
300697408,1,15,Thursday,15,35.212994,-89.8144
300697408,1,15,Thursday,15,35.212994,-89.8144
300697408,1,15,Thursday,15,35.212994,-89.8144
300697408,1,15,Thursday,15,35.212994,-89.8144
300697476,6,6,Monday,6,35.2603,-89.80578
300698495,4,16,Monday,16,35.204616,-89.865195
300698499,1,0,Sunday,0,35.22057,-89.793304
300698500,6,21,Tuesday,21,35.262485,-89.800956
300698502,3,13,Wednesday,13,35.19326,-89.848915
300698503,6,13,Wednesday,13,35.234925,-89.811827
300698504,3,16,Wednesday,16,35.204873,-89.834971
300698504,3,16,Wednesday,16,35.204873,-89.834971
300698505,4,8,Thursday,8,35.20466,-89.84803
300698506,4,9,Thursday,9,35.228481,-89.865119
300698507,4,19,Thursday,19,35.20467,-89.865036
300698507,4,19,Thursday,19,35.20467,-89.865036
300698510,4,19,Thursday,19,35.204613,-89.85631
300698989,4,9,Friday,9,35.21094,-89.884278
300698990,2,20,Thursday,20,35.228987,-89.83632
300698997,3,11,Friday,11,35.204358,-89.864284
300699005,3,16,Saturday,16,35.204784,-89.86115
300699006,7,15,Saturday,15,35.224789,-89.772195
300699009,3,12,Friday,12,35.204761,-89.877181
300699261,5,15,Saturday,15,35.241748,-89.837514
300699261,5,15,Saturday,15,35.241748,-89.837514
300699262,4,2,Sunday,2,35.21736,-89.863106
300699275,8,7,Monday,7,35.218312,-89.863114
300699275,8,7,Monday,7,35.218312,-89.863114
300699334,4,21,Saturday,21,35.215565,-89.87118
300699783,3,15,Tuesday,15,35.204123,-89.86864
300700737,3,13,Wednesday,13,35.200894,-89.83967
300700737,3,13,Wednesday,13,35.200894,-89.83967
300700738,4,17,Wednesday,17,35.212906,-89.868228
300700738,4,17,Wednesday,17,35.212906,-89.868228
300700739,5,12,Thursday,12,35.256967,-89.850231
300700774,1,10,Friday,10,35.214783,-89.82495
300700776,5,14,Friday,14,35.244388,-89.843014
300700779,4,15,Friday,15,35.204807,-89.85738
300700780,4,13,Saturday,13,35.20715,-89.87359
300700781,4,8,Sunday,8,35.205112,-89.848062
300701030,4,15,Thursday,15,35.226524,-89.84682
300701031,2,13,Friday,13,35.205252,-89.838836
300701033,2,13,Sunday,13,35.216976,-89.84417
300701036,1,10,Monday,10,35.21681,-89.807982
300701036,1,10,Monday,10,35.21681,-89.807982
300701036,1,10,Monday,10,35.21681,-89.807982
300701036,1,10,Monday,10,35.21681,-89.807982
300701754,3,12,Wednesday,12,35.205027,-89.839892
300701755,3,22,Wednesday,22,35.204952,-89.84067
300701756,1,13,Wednesday,13,35.21281,-89.814705
300701756,1,13,Wednesday,13,35.21281,-89.814705
300701756,1,13,Wednesday,13,35.21281,-89.814705
300701756,1,13,Wednesday,13,35.21281,-89.814705
300701792,3,12,Thursday,12,35.222645,-89.816628
300701985,3,17,Thursday,17,35.190573,-89.869252
300701986,4,5,Friday,5,35.21724,-89.86299
300702902,5,0,Wednesday,0,35.233756,-89.854126
300702905,3,12,Friday,12,35.190567,-89.86497
300702906,8,12,Saturday,12,35.205322,-89.77767
300702906,8,12,Saturday,12,35.205322,-89.77767
300702934,6,7,Tuesday,7,35.238789,-89.793181
300703172,2,13,Wednesday,13,35.217086,-89.842359
