date,zone_id,slot_idx,slot_name,r_ref_zt,x_uniform,x_nominal,x_static,x_dynamic,s_uniform,s_nominal,s_static,s_dynamic
12/25/2024,1,0,Mon_Day,0.13471259,1,1,1,2,0.125,0.125,0.125,0.25
12/25/2024,1,1,Mon_Eve,0.187104889,1,2,1,1,0.125,0.25,0.125,0.125
12/25/2024,1,2,Mon_Ngt,0.462975452,1,3,1,1,0.125,0.375,0.125,0.125
12/25/2024,1,3,Tue_Day,0.097780231,1,1,1,0,0.125,0.125,0.125,0
12/25/2024,1,4,Tue_Eve,0.074914427,1,1,1,0,0.125,0.125,0.125,0
12/25/2024,1,5,Tue_Ngt,0.030359925,1,1,0,2,0.125,0.125,0,0.25
12/25/2024,1,6,Wed_Day,0.077263233,1,1,1,0,0.125,0.125,0.125,0
12/25/2024,1,7,Wed_Eve,0.146716736,1,1,3,0,0.125,0.125,0.375,0
12/25/2024,1,8,Wed_Ngt,0.031406891,1,0,1,0,0.125,0,0.125,0
12/25/2024,1,9,Thu_Day,0.266564824,1,2,3,0,0.125,0.25,0.375,0
12/25/2024,1,10,Thu_Eve,0.144409696,1,1,1,0,0.125,0.125,0.125,0
12/25/2024,1,11,Thu_Ngt,0.065331242,1,0,0,1,0.125,0,0,0.125
12/25/2024,1,12,Fri_Day,0.274265518,1,2,2,3,0.125,0.25,0.25,0.375
12/25/2024,1,13,Fri_Eve,0.157650323,1,1,1,1,0.125,0.125,0.125,0.125
12/25/2024,1,14,Fri_Ngt,0.097244581,1,1,3,0,0.125,0.125,0.375,0
12/25/2024,1,15,Sat_Day,0.171863103,1,1,5,1,0.125,0.125,0.625,0.125
12/25/2024,1,16,Sat_Eve,0.168912931,1,2,3,1,0.125,0.25,0.375,0.125
12/25/2024,1,17,Sat_Ngt,0.055480256,1,1,3,1,0.125,0.125,0.375,0.125
12/25/2024,1,18,Sun_Day,0.158926812,1,1,1,0,0.125,0.125,0.125,0
12/25/2024,1,19,Sun_Eve,0.211855207,1,2,1,2,0.125,0.25,0.125,0.25
12/25/2024,1,20,Sun_Ngt,0.454560363,1,4,1,0,0.125,0.5,0.125,0
12/25/2024,2,0,Mon_Day,0.079415946,1,1,0,1,0.125,0.125,0,0.125
12/25/2024,2,1,Mon_Eve,0.038236398,1,0,1,0,0.125,0,0.125,0
12/25/2024,2,2,Mon_Ngt,0.086100183,1,1,0,0,0.125,0.125,0,0
12/25/2024,2,3,Tue_Day,0.062544538,1,1,1,1,0.125,0.125,0.125,0.125
12/25/2024,2,4,Tue_Eve,0.019457746,1,0,0,1,0.125,0,0,0.125
12/25/2024,2,5,Tue_Ngt,0.02023995,1,0,0,0,0.125,0,0,0
12/25/2024,2,6,Wed_Day,0.077263233,1,1,1,1,0.125,0.125,0.125,0.125
12/25/2024,2,7,Wed_Eve,0.157650148,1,1,1,1,0.125,0.125,0.125,0.125
12/25/2024,2,8,Wed_Ngt,0.225173654,1,2,0,1,0.125,0.25,0,0.125
12/25/2024,2,9,Thu_Day,0.091591053,1,1,2,1,0.125,0.125,0.25,0.125
12/25/2024,2,10,Thu_Eve,0.170519865,1,2,0,1,0.125,0.25,0,0.125
12/25/2024,2,11,Thu_Ngt,0.108885404,1,1,0,1,0.125,0.125,0,0.125
12/25/2024,2,12,Fri_Day,0.04471822,1,1,1,1,0.125,0.125,0.125,0.125
12/25/2024,2,13,Fri_Eve,0.204895293,1,2,0,1,0.125,0.25,0,0.125
12/25/2024,2,14,Fri_Ngt,0.097244581,1,1,1,1,0.125,0.125,0.125,0.125
12/25/2024,2,15,Sat_Day,0.221957634,1,2,1,3,0.125,0.25,0.125,0.375
12/25/2024,2,16,Sat_Eve,0.23723297,1,2,2,2,0.125,0.25,0.25,0.25
12/25/2024,2,17,Sat_Ngt,0.013870064,1,0,0,0,0.125,0,0,0
12/25/2024,2,18,Sun_Day,0.03353389,1,0,1,1,0.125,0,0.125,0.125
12/25/2024,2,19,Sun_Eve,0.203902697,1,2,1,3,0.125,0.25,0.125,0.375
12/25/2024,2,20,Sun_Ngt,0.040376184,1,1,0,1,0.125,0.125,0,0.125
12/25/2024,3,0,Mon_Day,0.089196029,1,1,0,1,0.125,0.125,0,0.125
12/25/2024,3,1,Mon_Eve,0.093635724,1,1,0,2,0.125,0.125,0,0.25
12/25/2024,3,2,Mon_Ngt,0.043050092,1,0,0,0,0.125,0,0,0
12/25/2024,3,3,Tue_Day,0.23775386,1,2,0,1,0.125,0.25,0,0.125
12/25/2024,3,4,Tue_Eve,0.208949657,1,2,1,2,0.125,0.25,0.125,0.25
12/25/2024,3,5,Tue_Ngt,0.268650576,1,2,1,1,0.125,0.25,0.125,0.125
12/25/2024,3,6,Wed_Day,0.241594889,1,2,2,0,0.125,0.25,0.25,0
12/25/2024,3,7,Wed_Eve,0.076178813,1,1,2,0,0.125,0.125,0.25,0
12/25/2024,3,8,Wed_Ngt,0.08375171,1,1,4,0,0.125,0.125,0.5,0
12/25/2024,3,9,Thu_Day,0.110740523,1,1,2,2,0.125,0.125,0.25,0.25
12/25/2024,3,10,Thu_Eve,0.064301163,1,1,0,4,0.125,0.125,0,0.5
12/25/2024,3,11,Thu_Ngt,0.108885404,1,1,2,2,0.125,0.125,0.25,0.25
12/25/2024,3,12,Fri_Day,0.029812147,1,0,0,0,0.125,0,0,0
12/25/2024,3,13,Fri_Eve,0.036760012,1,0,1,1,0.125,0,0.125,0.125
12/25/2024,3,14,Fri_Ngt,0.055568332,1,1,0,0,0.125,0.125,0,0
12/25/2024,3,15,Sat_Day,0.097140015,1,1,0,1,0.125,0.125,0,0.125
12/25/2024,3,16,Sat_Eve,0.104657559,1,1,0,0,0.125,0.125,0,0
12/25/2024,3,17,Sat_Ngt,0.340252274,1,2,1,0,0.125,0.25,0.125,0
12/25/2024,3,18,Sun_Day,0.063714392,1,1,1,0,0.125,0.125,0.125,0
12/25/2024,3,19,Sun_Eve,0.024594344,1,0,1,0,0.125,0,0.125,0
12/25/2024,3,20,Sun_Ngt,0.121128552,1,1,0,2,0.125,0.125,0,0.25
12/25/2024,4,0,Mon_Day,0.392152921,1,2,5,4,0.125,0.25,0.625,0.5
12/25/2024,4,1,Mon_Eve,0.426393771,1,2,3,4,0.125,0.25,0.375,0.5
12/25/2024,4,2,Mon_Ngt,0.25830055,1,2,3,5,0.125,0.25,0.375,0.625
12/25/2024,4,3,Tue_Day,0.40458745,1,2,5,5,0.125,0.25,0.625,0.625
12/25/2024,4,4,Tue_Eve,0.546111961,1,4,5,3,0.125,0.5,0.625,0.375
12/25/2024,4,5,Tue_Ngt,0.60001433,1,4,5,3,0.125,0.5,0.625,0.375
12/25/2024,4,6,Wed_Day,0.434188666,1,2,4,5,0.125,0.25,0.5,0.625
