seg_idx,MSLINK,zone_id,zone_idx,BLM,ELM,segment_length_mi,length_norm,RTE_NME,ID_NUMBER,FUNC_CLASS,SR_DESIGNA,ADM_SYS,NME_CNTY
0,473,1,0,12.68,14.15,1.47,0.05252626,MEMPHIS ARLINGTON RD.,7902875001,U / MAJ COL,--,"18-STP URBAN, NON-STATE SYS.",SHELBY
1,583,1,0,0.011,1.74,1.729,0.06178089,APPLING RD.,7904452001,U / MIN ART,--,"18-STP URBAN, NON-STATE SYS.",SHELBY
2,829,1,0,0.0,2.28,2.28,0.08146931,APPLING RD.,7905135001,U / MIN ART,--,"18-STP URBAN, NON-STATE SYS.",SHELBY
3,1078,1,0,0.0,1.31,1.31,0.04680912,YALE RD.,7905427001,U / MIN ART,--,"18-STP URBAN, NON-STATE SYS.",SHELBY
4,1079,1,0,1.31,1.873,0.563,0.0201172,BROTHER BLVD.,7905427001,U / MIN ART,--,"18-STP URBAN, NON-STATE SYS.",SHELBY
5,1080,1,0,1.873,1.88,0.007,0.00025013,BROTHER BLVD.,7905427001,U / MIN ART,--,"18-STP URBAN, NON-STATE SYS.",SHELBY
6,1143,1,0,0.0,0.43,0.43,0.01536483,APPLING RD.,7905483001,U / MAJ COL,--,"18-STP URBAN, NON-STATE SYS.",SHELBY
7,5702,1,0,0.0,0.606,0.606,0.02165368,VAN DER VEER DR.,790D757001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
8,5719,1,0,0.01,0.675,0.665,0.02376188,SANTA VALLEY ST.,790D771001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
9,5721,1,0,0.0,0.299,0.299,0.01068391,LAMESA LN.,790D773001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
10,5722,1,0,0.0,0.281,0.281,0.01004073,DEVINE ST.,790D774001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
11,5726,1,0,0.045,0.164,0.119,0.00425213,CROWELL ST.,790D777001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
12,5728,1,0,0.008,0.219,0.211,0.00753948,CHRISTOVAL ST.,790D778001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
13,5808,1,0,0.0,0.506,0.506,0.01808047,FOURTH ST.,790D843001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
14,5843,1,0,0.0,0.514,0.514,0.01836633,EARLYNN DR.,790D869001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
15,5844,1,0,0.514,0.788,0.274,0.00979061,COUNTRY LAKE DR.,790D869001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
16,5845,1,0,0.0,0.624,0.624,0.02229686,HAYNES RD.,790D870001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
17,5846,1,0,0.624,1.193,0.569,0.02033159,WINDERSVILLE DR.,790D870001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
18,5847,1,0,0.0,0.424,0.424,0.01515043,STEPHEN FRANKLIN DR.,790D871001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
19,5848,1,0,0.424,0.548,0.124,0.00443079,WATERFALL DR.,790D871001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
20,5851,1,0,0.0,0.402,0.402,0.01436433,TERRY FRANKLIN DR.,790D873001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
21,5862,1,0,0.0,2.222,2.222,0.07939684,ELLIS RD.,790D884001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
22,5864,1,0,0.0,0.293,0.293,0.01046952,BERRETTA RD.,790D886001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
23,13340,1,0,0.0,0.078,0.078,0.00278711,BIG SPRINGS LN.,790L249001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
24,13342,1,0,0.278,0.347,0.069,0.00246552,CARAHILLS LN.,790L249001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
25,13343,1,0,0.0,0.365,0.365,0.01304224,EARLYNN DR.,790L250001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
26,13375,1,0,0.0,0.524,0.524,0.01872365,SANDYWOOD LN.,790L277001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
27,13379,1,0,0.0,0.285,0.285,0.01018366,POLLY DR.,790L280001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
28,13380,1,0,0.0,0.429,0.429,0.01532909,JILLS CREEK DR.,790L281001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
29,13383,1,0,0.0,0.138,0.138,0.00493104,ALLBRIGHT CV.,790L283001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
30,13387,1,0,0.124,0.213,0.089,0.00318016,SUNRISE LN.,790L285001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
31,13388,1,0,0.0,0.15,0.15,0.00535982,BRANDON LN.,790L286001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
32,13389,1,0,0.0,0.094,0.094,0.00335882,COUNTRY LANE CV.,790L287001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
33,13390,1,0,0.0,0.555,0.555,0.01983134,CLAREDALE DR.,790L289001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
34,13400,1,0,0.0,0.224,0.224,0.008004,RUSSELL HURST DR. E.,790L302001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
35,13834,1,0,0.0,0.073,0.073,0.00260845,JOSHUA CV.,790L661001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
36,13835,1,0,0.0,0.324,0.324,0.01157722,GAIL DR.,790L662001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
37,13838,1,0,0.0,0.435,0.435,0.01554349,LA CASA DR.,790L664001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
38,13839,1,0,0.0,0.363,0.363,0.01297077,SHADY OAKS DR.,790L665001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
39,13840,1,0,0.0,0.551,0.551,0.01968842,BROADWAY ST.,790L666001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
40,13846,1,0,0.0,0.052,0.052,0.00185807,DON VALLEY CV.,790L672001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
41,13847,1,0,0.0,0.094,0.094,0.00335882,BAJA VALLEY DR.,790L673001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
42,13855,1,0,0.038,0.154,0.116,0.00414493,CHERRY BREEZE DR.,790L680001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
43,13859,1,0,0.0,0.782,0.782,0.02794254,SUMMERDALE DR.,790L684001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
44,13863,1,0,0.148,0.372,0.224,0.008004,AUGUST DR.,790L686001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
45,13865,1,0,0.099,0.417,0.318,0.01136282,OLIVIA HILL DR.,790L687001,U / LOCAL,--,12-OTHER CITY STREETS,SHELBY
