MSLINK,zone_id,ticket_count,segment_length_mi,violations_per_mile
85,8,1,0.992,1.0080645161290323
102,8,11,0.034,323.52941176470586
103,8,2,0.122,16.39344262295082
104,7,1,0.367,2.7247956403269757
105,7,9,1.462,6.155950752393981
105,8,1,1.462,0.6839945280437757
106,6,4,1.495,2.6755852842809364
106,7,28,1.495,18.729096989966553
107,6,222,1.388,159.94236311239194
108,6,19,0.282,67.3758865248227
143,5,213,0.6,355.0
144,5,349,2.97,117.5084175084175
144,6,20,2.97,6.7340067340067336
145,6,78,1.6,48.75
146,6,3,0.027,111.11111111111111
147,6,103,0.913,112.81489594742607
148,6,18,0.216,83.33333333333333
152,6,1,0.566,1.76678445229682
154,6,84,1.95,43.07692307692308
168,7,7,1.371,5.105762217359591
263,4,4,1.81,2.2099447513812156
264,2,262,2.71,96.6789667896679
264,4,974,2.71,359.409594095941
462,3,1,0.328,3.048780487804878
463,3,1850,1.302,1420.8909370199692
463,4,47,1.302,36.09831029185868
464,4,1294,1.16,1115.5172413793105
465,4,6,0.011,545.4545454545455
466,4,124,0.799,155.19399249061325
470,5,65,2.228,29.174147217235184
471,5,5,0.2,25.0
472,2,24,0.42,57.142857142857146
472,5,15,0.42,35.714285714285715
473,1,98,1.47,66.66666666666667
473,6,4,1.47,2.7210884353741496
473,7,48,1.47,32.6530612244898
476,3,2,4.95,0.40404040404040403
550,4,470,0.437,1075.5148741418764
551,4,31,1.083,28.624192059095108
571,2,4,1.2,3.3333333333333335
571,4,158,1.2,131.66666666666669
572,2,7,0.1,70.0
572,4,2,0.1,20.0
573,2,60,0.41,146.34146341463415
582,8,1,0.011,90.90909090909092
583,1,235,1.729,135.91671486408327
583,8,24,1.729,13.880855986119144
584,2,62,1.61,38.50931677018633
584,5,4,1.61,2.484472049689441
585,2,47,0.65,72.3076923076923
586,2,5,0.393,12.72264631043257
587,1,5,0.437,11.441647597254004
587,2,14,0.437,32.036613272311214
588,2,27,2.48,10.887096774193548
588,3,74,2.48,29.838709677419356
588,4,172,2.48,69.35483870967742
589,3,86,1.02,84.31372549019608
590,3,42,0.94,44.68085106382979
590,4,134,0.94,142.55319148936172
591,3,125,0.31,403.2258064516129
591,4,22,0.31,70.96774193548387
592,4,258,1.01,255.44554455445544
593,4,43,0.3,143.33333333333334
710,3,1,0.96,1.0416666666666667
791,4,10,1.17,8.547008547008547
793,4,23,0.69,33.333333333333336
794,4,131,0.69,189.85507246376812
798,5,18,1.16,15.517241379310345
800,4,6,0.109,55.04587155963303
801,4,7,0.08,87.5
802,4,1,0.11,9.090909090909092
803,4,1,0.09,11.11111111111111
804,4,1,0.24,4.166666666666667
806,4,20,0.3,66.66666666666667
807,4,4,0.12,33.333333333333336
808,2,5,0.82,6.097560975609756
808,4,33,0.82,40.243902439024396
808,5,96,0.82,117.07317073170732
809,5,16,0.11,145.45454545454547
810,1,3,0.53,5.660377358490566
810,2,6,0.53,11.320754716981131
811,5,25,0.85,29.411764705882355
811,6,37,0.85,43.529411764705884
812,6,4,0.36,11.11111111111111
813,6,26,0.93,27.956989247311828
816,3,12,2.367,5.069708491761724
817,3,16,0.043,372.093023255814
818,3,169,0.2,845.0
819,2,38,0.11,345.45454545454544
819,3,161,0.11,1463.6363636363637
820,2,3808,2.58,1475.968992248062
820,5,88,2.58,34.10852713178294
821,5,18,0.19,94.73684210526315
822,5,66,1.01,65.34653465346534
829,1,3,2.28,1.3157894736842106
834,8,2,0.746,2.680965147453083
836,3,1,1.23,0.8130081300813008
845,3,36,0.2,180.0
846,3,80,0.9,88.88888888888889
847,3,2,0.012,166.66666666666666
848,3,2,0.768,2.6041666666666665
1074,5,6,0.831,7.220216606498195
