zone_idx,zone_name,zone_area_km2,zone_size_class,centroid_lat,centroid_lon,slot_idx,slot_name,day_of_week,day_name,shift,shift_name,shift_window,H_total_min,briefing_min,paperwork_min,meal_min,call_burden_min,travel_min,total_deduction_min,F_zt_minutes,F_zt_hours,F_zt_pct_of_shift,interpretation
0,Zone_1,6.908,medium,35.2216,-89.8101,0,Mon_Day,0,Monday,1,Day,06:30-14:30,480,30,30,30,45,25,160,320,5.333,66.7,Officer in Zone_1 has 320 min for proactive patrol during Day shift
0,Zone_1,6.908,medium,35.2216,-89.8101,1,Mon_Eve,0,Monday,2,Evening,14:30-22:30,480,30,30,30,75,25,190,290,4.833,60.4,Officer in Zone_1 has 290 min for proactive patrol during Evening shift
0,Zone_1,6.908,medium,35.2216,-89.8101,2,Mon_Ngt,0,Monday,3,Night,22:30-06:30,480,30,30,30,30,25,145,335,5.583,69.8,Officer in Zone_1 has 335 min for proactive patrol during Night shift
0,Zone_1,6.908,medium,35.2216,-89.8101,3,Tue_Day,1,Tuesday,1,Day,06:30-14:30,480,30,30,30,45,25,160,320,5.333,66.7,Officer in Zone_1 has 320 min for proactive patrol during Day shift
0,Zone_1,6.908,medium,35.2216,-89.8101,4,Tue_Eve,1,Tuesday,2,Evening,14:30-22:30,480,30,30,30,75,25,190,290,4.833,60.4,Officer in Zone_1 has 290 min for proactive patrol during Evening shift
0,Zone_1,6.908,medium,35.2216,-89.8101,5,Tue_Ngt,1,Tuesday,3,Night,22:30-06:30,480,30,30,30,30,25,145,335,5.583,69.8,Officer in Zone_1 has 335 min for proactive patrol during Night shift
0,Zone_1,6.908,medium,35.2216,-89.8101,6,Wed_Day,2,Wednesday,1,Day,06:30-14:30,480,30,30,30,45,25,160,320,5.333,66.7,Officer in Zone_1 has 320 min for proactive patrol during Day shift
0,Zone_1,6.908,medium,35.2216,-89.8101,7,Wed_Eve,2,Wednesday,2,Evening,14:30-22:30,480,30,30,30,75,25,190,290,4.833,60.4,Officer in Zone_1 has 290 min for proactive patrol during Evening shift
0,Zone_1,6.908,medium,35.2216,-89.8101,8,Wed_Ngt,2,Wednesday,3,Night,22:30-06:30,480,30,30,30,30,25,145,335,5.583,69.8,Officer in Zone_1 has 335 min for proactive patrol during Night shift
0,Zone_1,6.908,medium,35.2216,-89.8101,9,Thu_Day,3,Thursday,1,Day,06:30-14:30,480,30,30,30,45,25,160,320,5.333,66.7,Officer in Zone_1 has 320 min for proactive patrol during Day shift
0,Zone_1,6.908,medium,35.2216,-89.8101,10,Thu_Eve,3,Thursday,2,Evening,14:30-22:30,480,30,30,30,75,25,190,290,4.833,60.4,Officer in Zone_1 has 290 min for proactive patrol during Evening shift
0,Zone_1,6.908,medium,35.2216,-89.8101,11,Thu_Ngt,3,Thursday,3,Night,22:30-06:30,480,30,30,30,30,25,145,335,5.583,69.8,Officer in Zone_1 has 335 min for proactive patrol during Night shift
0,Zone_1,6.908,medium,35.2216,-89.8101,12,Fri_Day,4,Friday,1,Day,06:30-14:30,480,30,30,30,45,25,160,320,5.333,66.7,Officer in Zone_1 has 320 min for proactive patrol during Day shift
0,Zone_1,6.908,medium,35.2216,-89.8101,13,Fri_Eve,4,Friday,2,Evening,14:30-22:30,480,30,30,30,75,25,190,290,4.833,60.4,Officer in Zone_1 has 290 min for proactive patrol during Evening shift
0,Zone_1,6.908,medium,35.2216,-89.8101,14,Fri_Ngt,4,Friday,3,Night,22:30-06:30,480,30,30,30,30,25,145,335,5.583,69.8,Officer in Zone_1 has 335 min for proactive patrol during Night shift
0,Zone_1,6.908,medium,35.2216,-89.8101,15,Sat_Day,5,Saturday,1,Day,06:30-14:30,480,30,30,30,45,25,160,320,5.333,66.7,Officer in Zone_1 has 320 min for proactive patrol during Day shift
